Time,PacketSize,Protocol,Sender,Receiver
1.39904,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40058,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40167,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40324,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40448,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40593,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40699,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40817,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.40947,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.41061,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.41202,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.41309,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.41462,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.41574,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.41718,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.41884,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.4204,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.42212,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.42339,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.42464,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.42592,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.42727,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.4285,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.42999,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.43163,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.4328,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.43387,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.43545,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.4371,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.43824,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.43953,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.44099,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.44213,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.44334,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.44442,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.44572,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.44685,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.4482,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.44929,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.45039,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.45212,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.45338,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
